1380,1140,1300,1190,1290,1120,1420,1530,1860,1640,1460,975,1710,1600,1630,562,1230,1380,718,619,1560,1560,365,735,1070
1380,1110,1300,1160,1250,1090,1420,1510,1850,1590,1460,940,1710,1630,1610,555,1230,1370,711,665,1560,1580,548,727,1090
1380,1110,1290,1120,1210,1050,1420,1490,1830,1570,1460,949,1710,1660,1600,584,1210,1370,698,706,1560,1570,804,712,1130
1380,1100,1240,1090,1250,1020,1460,1490,1830,1560,1460,1010,1710,1630,1590,1330,1340,1370,700,715,1550,1560,840,691,1120
1380,1200,1160,1080,1260,989,1440,1490,1830,1560,1460,1030,1710,1620,1560,1440,1530,1370,723,715,1540,1580,952,716,1090
1370,1320,1100,1080,1270,944,1420,1490,1830,1550,1460,1020,1740,1580,1560,1370,1470,1370,738,715,1520,1590,1230,735,1060
1350,1310,1080,1100,1340,948,1410,1490,1830,1530,1450,978,1750,1560,1560,1430,1460,1370,738,757,1490,1590,1570,784,1030
1340,1300,1070,1100,1340,985,1400,1490,1830,1530,1430,958,1780,1550,1560,1810,1420,1350,738,1020,1460,1590,1580,1210,1010
1320,1270,1040,1090,1340,1020,1400,1490,1810,1500,1390,938,1810,1530,1580,1830,1500,1340,747,1210,1440,1580,1560,1360,992
1310,1260,1020,1070,1340,1030,1390,1490,1810,1430,1350,902,1790,1530,1580,1730,1640,1340,811,1180,1430,1570,1560,1350,961
1300,1250,980,1040,1340,1010,1400,1490,1830,1380,1310,871,1780,1530,1560,1650,1580,1320,827,1080,1380,1570,1560,1340,941
1280,1240,1080,1020,1340,1010,1420,1490,1830,1320,1260,840,1780,1530,1560,1600,1520,1310,844,993,1320,1550,1560,1280,925
1280,1220,1250,1000,1350,978,1420,1490,1830,1270,1200,811,1740,1530,1560,1560,1470,1310,1250,935,1280,1510,1570,1350,911
1280,1210,1300,967,1420,927,1420,1490,1830,1210,1150,782,1720,1510,1550,1530,1440,1310,1290,903,1250,1470,1550,1460,887
1280,1210,1330,937,1420,928,1420,1500,1830,1180,1090,756,1700,1470,1540,1520,1400,1310,1340,898,1210,1370,1500,1460,863
1280,1200,1340,928,1420,1010,1410,1520,1810,1250,1060,728,1660,1430,1520,1500,1350,1310,1390,923,1180,1310,1400,1460,856
1280,1170,1360,899,1420,1060,1390,1570,1810,1570,1030,691,1630,1390,1500,1750,1330,1310,1370,950,1160,1260,1290,1440,845
1280,1140,1390,874,1410,1070,1400,1560,1780,1590,1000,670,1600,1340,1460,1790,1320,1290,1370,961,1130,1210,1250,1430,833
1270,1110,1400,850,1380,1060,1400,1570,1750,1560,971,662,1580,1280,1420,1700,1310,1270,1370,971,1100,1280,1200,1440,828
1250,1100,1380,826,1350,1050,1390,1620,1730,1560,927,642,1570,1220,1400,1630,1310,1260,1340,1010,1090,1410,1160,1430,848
1230,1080,1370,802,1350,1040,1370,1650,1650,1450,886,628,1560,1180,1340,1600,1310,1260,1310,1180,1070,1420,1150,1380,884
1190,1060,1360,780,1340,1060,1350,1650,1570,1390,865,615,1590,1140,1300,1590,1310,1280,1310,1390,1050,1370,1100,1340,1560
1190,1040,1360,766,1340,1070,1330,1620,1510,1390,842,605,1610,1110,1270,1770,1290,1270,1300,1600,1020,1310,1050,1290,1690
1390,1020,1360,752,1340,1070,1300,1610,1550,1390,830,595,1620,1060,1240,1820,1250,1250,1300,1620,991,1260,1040,1240,1730
1480,1010,1360,742,1320,1130,1260,1610,1730,1390,803,582,1630,1030,1190,1680,1210,1230,1290,1620,979,1220,1250,1520,1700
1420,985,1360,733,1280,1450,1230,1610,1720,1400,774,569,1620,974,1140,1660,1150,1230,1330,1610,979,1150,1790,2000,1640
1420,1090,1380,725,1240,1520,1200,1610,1710,1420,767,559,1600,942,1100,1630,1110,1250,1440,1550,979,1110,1790,1870,1610
1440,1170,1360,772,1190,1590,1160,1600,1790,1530,754,550,1640,916,1050,1600,1070,1320,1400,1480,981,1100,1710,1730,1590
1450,1210,1360,1040,1130,1620,1180,1590,1830,1600,728,542,1670,891,1020,1620,1010,1340,1370,1360,1090,1090,1620,1650,1550
1420,1210,1370,1270,1080,1600,1330,1580,1880,1600,710,532,1650,865,994,1670,978,1340,1340,1250,1220,1070,1570,1600,1520
