0.6,0,0,0.5,0.6,0,0,0.5,0,0,1.4,6.7,1.8,3,0,0,0,0,7.4,0,0,0.5,37.5,0.5,0,7.3
0,0,0.4,0,0,0,0.4,0,0,0,0.5,8.4,6,0,0,0,7.1,0,0,5.6,0,0,1,2,0,0
9.3,0,0,0,9.3,0,0,0,0,3,0,0,4,0,0,17.2,55.5,1.7,15.1,10.4,3,15,0.5,1,0,0
0,1.8,3.6,1.5,0,1.8,3.6,1.5,0,0,0,0,0.7,0,0,0,7,0,8.8,0,13.5,9.5,2,8.5,0,0
27.7,5.3,0,0,27.7,5.3,0,0,7.3,0,0,0,0,1.4,19.1,10.5,18.2,1.2,0,1.3,0,0,1.5,3.5,0,0
0,7.4,0,0,0,7.4,0,0,0,0,0,0,0,0,3.4,19.8,0,11.9,0,34.7,0,0,3,0.5,0,0
0.1,0.1,1.8,0,0.1,0.1,1.8,0,0,0,0,0,1.6,0,11.8,73.8,4.5,1.8,0.3,7.7,0,0,0.5,5,0,0
0,0,1.4,0,0,0,1.4,0,0,0,0,0,0,0,0.4,20.3,12.7,0,12.5,0,0,0,0,0,0,0
0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,0,11,1.5,0,0
0,0,0,11,0,0,0,11,8,0,0,0,0,0,0,0,0,0,6.2,0,0,0,9.5,0,0,0
0,0,1.4,1,0,0,1.4,1,16,0,0,0,2.8,0,0.7,0,0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,25.6,41.1,0,0,0,1.5,2.8,0,0
0,0,0,4.1,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,1,6.8,0,0,1,0,0,0
0.5,1.9,0,0,0.5,1.9,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0.6,0,4.5,5,1,0,0
0.9,11.9,0,0,0.9,11.9,0,0,0.6,30.2,0,0,0,0,0.6,11,0,0,0,0,0,2.5,0,0,0,0
0,0,0,0,0,0,0,0,0,7.4,0,0,0,1.4,0.2,17.1,0,1.1,6.3,0,0,2.5,0,6.8,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,2.7,0.9,0,0.5,0,0,0,0
0,2.4,0,12.2,0,2.4,0,12.2,0,0,0,0,0,0,0,0,0,0,0,1.4,0,1,0,0,0,0
