26.2,7.4,26.4,32,14.5,21.3,30.4,82,43.6,41.8,96.5,12.6,24.4,58.5,44.2,15,17.3,45.4,13.2,5.35,26.8,46.9,4.22,16,16,16
26.2,8.9,24.8,31,13.5,23.8,28.2,60.4,37.5,45.4,74,12.3,23.8,70.5,49.9,15.4,16.2,40.5,12.3,5.7,25.4,36.9,7.25,16.9,16.9,16.9
25.5,42,24.8,29.5,14,23.2,28.9,50.9,34.1,40,62.5,15.1,23.4,62,55,19.1,16.5,38,11.8,5.9,25.2,32.3,6.8,13.7,13.7,13.7
37.7,39.3,22.4,30,17.2,21.9,28.2,46.2,30.9,32,56,15.4,24.4,51,54.5,41.5,137,36,14.4,5.75,23.5,48.1,7.4,12.3,12.3,12.3
36.9,64.5,20.8,31.5,16.6,30.7,25.4,48.1,27,27.8,52.5,16.7,26.4,44.9,56,30.2,112,35.6,18.8,5.25,22.7,54,8.15,13.1,13.1,13.1
37.7,48,21.6,32,23.8,33.8,23.4,45.3,24,24.4,48,20.5,28.2,39.4,55,26.9,96.5,34.9,19.7,5.2,19.7,43,18,13.5,13.5,13.5
37.7,35.8,23.2,29,30.7,39.6,23.4,39.9,22,21.9,45.6,20.6,33.1,34.2,50,65.5,72,43.8,18.3,10.9,17.5,35.8,49.6,17.2,17.2,17.2
37.7,37.2,25.6,27.2,27.9,33.8,23.4,37.2,20.1,20.6,42.2,21,40.8,31.8,57,281,67.5,46.4,18.2,15.1,16.8,31.4,55,31,31,31
43.3,33,23.2,27.2,30.7,25.1,20.8,32,18.3,18.7,39.4,21.1,47.2,30.2,62.5,181,102,42.5,19.7,11.7,16.9,26.9,39.3,24.9,24.9,24.9
41.4,31,23.2,24.8,32.2,20.7,19.1,29.7,17.7,17.1,39.1,21,48.5,29.9,56,116,136,37.2,18.7,9.65,17.5,25.2,32.9,24.9,24.9,24.9
